time|pressure
 3644092800.8059329987 |   710017
 3644092801.8060469627 |   710018
 3644092802.8060560226 |   710028
 3644092803.8059620857 |   710041
 3644092804.8062839508 |   710057
 3644092805.8063969612 |   710075
 3644092806.8059911728 |   710090
 3644092807.8060002327 |   710100
 3644092808.8060092926 |   710103
 3644092809.8060193062 |   710099
 3644092810.8059239388 |   710090
 3644092811.8060369492 |   710075
 3644092812.8060479164 |   710059
 3644092813.8059530258 |   710041
 3644092814.8060669899 |   710028
 3644092815.8060760498 |   710019
 3644092816.8059811592 |   710017
 3644092817.8059911728 |   710022
  3644092818.806210041 |   710034
 3644092819.8061141968 |   710050
 3644092820.8060202599 |   710067
 3644092821.8061332703 |   710083
 3644092822.8061432838 |   710095
 3644092823.8060479164 |   710101
   3644092824.80605793 |   710100
 3644092825.8061723709 |   710093
  3644092826.806180954 |   710080
 3644092827.8063993454 |   710065
 3644092828.8060970306 |   710050
  3644092829.806210041 |   710037
 3644092830.8061151505 |   710026
 3644092831.8062291145 |   710024
 3644092832.8061351776 |   710024
 3644092833.8061442375 |   710031
 3644092834.8062572479 |   710043
 3644092835.8062672615 |   710056
 3644092836.8061733246 |   710068
 3644092837.8060779572 |   710080
 3644092838.8062963486 |   710087
 3644092839.8063063622 |   710090
 3644092840.8063149452 |   710088
 3644092841.8063249588 |   710082
 3644092842.8063349724 |   710072
 3644092843.8062400818 |   710060
 3644092844.8066663742 |   710047
 3644092845.8063631058 |   710037
 3644092846.8066849709 |   710030
 3644092847.8065900803 |   710026
 3644092848.8062882423 |   710027
 3644092849.8062973022 |   710033
 3644092850.8063063622 |   710043
 3644092851.8062119484 |   710054
 3644092852.8064303398 |   710067
 3644092853.8077950478 |   710079
 3644092854.8064489365 |   710088
 3644092855.8064579964 |   710092
 3644092856.8063640594 |   710093
 3644092857.8062682152 |   710088
 3644092858.8062782288 |   710078
 3644092859.8063921928 |   710067
 3644092860.8068180084 |   710053
 3644092861.8064112663 |   710041
 3644092862.8064222336 |   710034
  3644092863.806535244 |   710029
 3644092864.8063359261 |   710030
  3644092865.806450367 |   710034
   3644092866.80645895 |   710043
 3644092867.8065729141 |   710052
 3644092868.8064780235 |   710064
 3644092869.8070092201 |   710075
 3644092870.8069143295 |   710083
 3644092871.8065071106 |   710089
   3644092872.80641222 |   710089
 3644092873.8066301346 |   710087
  3644092874.806535244 |   710081
 3644092875.8065452576 |   710074
 3644092876.8064513206 |   710065
 3644092877.8065643311 |   710054
 3644092878.8065743446 |   710046
 3644092879.8064789772 |   710038
 3644092880.8065919876 |   710034
 3644092881.8066020012 |   710033
 3644092882.8066110611 |   710035
 3644092883.8066210747 |   710038
 3644092884.8067359924 |   710045
 3644092885.8067450523 |   710053
 3644092886.8065462112 |   710060
 3644092887.8065562248 |   710070
 3644092888.8066692352 |   710078
 3644092889.8066792488 |   710084
 3644092890.8066883087 |   710089
 3644092891.8068022728 |   710091
 3644092892.8068122864 |   710091
  3644092893.807030201 |   710086
  3644092894.806622982 |   710080
 3644092895.8068399429 |   710071
 3644092896.8068499565 |   710061
 3644092897.8067550659 |   710051
 3644092898.8066601753 |   710042
 3644092899.8071913719 |   710036
 3644092900.8068881035 |   710033
 3644092901.8065853119 |   710034
  3644092902.806699276 |   710039
 3644092903.8068122864 |   710048
    3644092904.8068223 |   710060
 3644092905.8067269325 |   710073
 3644092906.8068413734 |   710086
 3644092907.8068499565 |   710096
 3644092908.8067569733 |   710101
 3644092909.8067660332 |   710103
 3644092910.8068790436 |   710100
 3644092911.8068890572 |   710090
 3644092912.8071069717 |   710078
 3644092913.8069081306 |   710065
 3644092914.8069181442 |   710050
 3644092915.8068232536 |   710038
 3644092916.8068323135 |   710029
 3644092917.8070502281 |   710026
 3644092918.8069562912 |   710029
 3644092919.8069653511 |   710035
 3644092920.8072872162 |   710046
 3644092921.8069839478 |   710060
 3644092922.8069939613 |   710073
 3644092923.8070039749 |   710086
 3644092924.8069090843 |   710094
 3644092925.8070230484 |   710099
 3644092926.8070321083 |   710098
 3644092927.8070421219 |   710093
 3644092928.8070511818 |   710083
 3644092929.8070611954 |   710069
 3644092930.8072781563 |   710056
 3644092931.8069753647 |   710044
 3644092932.8065690994 |   710035
 3644092933.8070993423 |   710030
 3644092934.8070049286 |   710031
 3644092935.8065972328 |   710036
 3644092936.8071279526 |   710047
 3644092937.8071370125 |   710061
 3644092938.8073563576 |   710075
 3644092939.8066353798 |   710088
 3644092940.8070611954 |   710096
  3644092941.807487011 |   710101
  3644092942.807185173 |   710100
 3644092943.8071942329 |   710095
 3644092944.8067879677 |   710085
 3644092945.8066930771 |   710073
 3644092946.8068060875 |   710060
 3644092947.8073372841 |   710049
 3644092948.8074150085 |   710042
 3644092949.8072509766 |   710039
 3644092950.8068442345 |   710041
 3644092951.8072710037 |   710046
 3644092952.8072810173 |   710056
 3644092953.8068733215 |   710067
 3644092954.8072991371 |   710079
  3644092955.807446003 |   710089
 3644092956.8073191643 |   710094
 3644092957.8079543114 |   710096
 3644092958.8074412346 |   710095
 3644092959.8074121475 |   710089
 3644092960.8068361282 |   710080
 3644092961.8068461418 |   710070
 3644092962.8069601059 |   710060
 3644092963.8069701195 |   710054
 3644092964.8069782257 |   710049
 3644092965.8068852425 |   710048
 3644092966.8069982529 |   710050
 3644092967.8070073128 |   710055
 3644092968.8069133759 |   710062
 3644092969.8069219589 |   710071
 3644092970.8071389198 |   710075
 3644092971.8070449829 |   710081
 3644092972.8070549965 |   710084
 3644092973.8070640564 |   710082
 3644092974.8071780205 |   710080
 3644092975.8070831299 |   710075
 3644092976.8070931435 |   710070
 3644092977.8069982529 |   710066
 3644092978.8071112633 |   710062
 3644092979.8071212769 |   710061
 3644092980.8070273399 |   710061
  3644092981.807141304 |   710062
 3644092982.8071503639 |   710064
 3644092983.8070559502 |   710068
 3644092984.8070650101 |   710069
 3644092985.8080129623 |   710071
 3644092986.8071889877 |   710072
 3644092987.8070940971 |   710072
 3644092988.8079380989 |   710071
 3644092989.8078432083 |   710071
 3644092990.8071222305 |   710069
 3644092991.8071322441 |   710068
 3644092992.8070383072 |   710068
 3644092993.8072552681 |   710069
  3644092994.807264328 |   710069
 3644092995.8071699142 |   710070
 3644092996.8071799278 |   710070
 3644092997.8073563576 |   710070
 3644092998.8071990013 |   710069
 3644092999.8071041107 |   710069
 3644093000.8071141243 |   710068
 3644093001.8073740005 |   710068
 3644093002.8072371483 |   710067
 3644093003.8072471619 |   710068
   3644093004.80809021 |   710069
  3644093005.807996273 |   710070
 3644093006.8073382378 |   710071
  3644093007.807349205 |   710074
 3644093008.8073592186 |   710075
 3644093009.8074059486 |   710076
 3644093010.8076272011 |   710077
 3644093011.8068032265 |   710077
 3644093012.8074359894 |   710076
 3644093013.8073549271 |   710075
 3644093014.8073129654 |   710073
 3644093015.8073210716 |   710070
 3644093016.8073663712 |   710068
 3644093017.8073773384 |   710066
 3644093018.8073449135 |   710066
 3644093019.8074011803 |   710067
 3644093020.8074083328 |   710069
 3644093021.8073410988 |   710072
 3644093022.8073401451 |   710076
 3644093023.8074393272 |   710080
 3644093024.8074469566 |   710085
 3644093025.8074569702 |   710089
 3644093026.8073592186 |   710090
 3644093027.8074769974 |   710090
 3644093028.8074913025 |   710085
 3644093029.8073892593 |   710079
 3644093030.8073983192 |   710072
 3644093031.8075151443 |   710063
 3644093032.8075251579 |   710056
 3644093033.8078460693 |   710052
 3644093034.8075451851 |   710050
 3644093035.8075551987 |   710051
 3644093036.8075633049 |   710055
 3644093037.8074769974 |   710065
 3644093038.8084163666 |   710074
 3644093039.8076972961 |   710084
 3644093040.8077039719 |   710095
 3644093041.8076100349 |   710102
  3644093042.807723999 |   710106
 3644093043.8077340126 |   710104
 3644093044.8075351715 |   710098
 3644093045.8075461388 |   710089
 3644093046.8076581955 |   710078
 3644093047.8076682091 |   710065
 3644093048.8076791763 |   710054
 3644093049.8075833321 |   710046
 3644093050.8076963425 |   710044
 3644093051.8077049255 |   710045
 3644093052.8075070381 |   710051
 3644093053.8076210022 |   710062
 3644093054.8076310158 |   710074
 3644093055.8077440262 |   710086
 3644093056.8077530861 |   710097
 3644093057.8078680038 |   710105
 3644093058.8077731133 |   710109
 3644093059.8077821732 |   710109
 3644093060.8076882362 |   710104
 3644093061.8078022003 |   710096
 3644093062.8079152107 |   710087
 3644093063.8079242706 |   710076
 3644093064.8077263832 |   710066
 3644093065.8078403473 |   710058
 3644093066.8082661629 |   710053
 3644093067.8077549934 |   710051
 3644093068.8077640533 |   710054
 3644093069.8077740669 |   710058
 3644093070.8079919815 |   710065
 3644093071.8080019951 |   710072
  3644093072.807803154 |   710080
 3644093073.8079152107 |   710086
  3644093074.807926178 |   710092
 3644093075.8078312874 |   710094
  3644093076.807841301 |   710095
 3644093077.8079543114 |   710094
  3644093078.807964325 |   710090
   3644093079.80828619 |   710085
 3644093080.8079819679 |   710079
 3644093081.8079929352 |   710073
 3644093082.8084182739 |   710068
 3644093083.8079071045 |   710065
 3644093084.8082289696 |   710063
 3644093085.8080301285 |   710064
 3644093086.8083529472 |   710066
 3644093087.8082580566 |   710070
 3644093088.8080592155 |   710075
 3644093089.8080701828 |   710079
  3644093090.808078289 |   710085
 3644093091.8079843521 |   710090
 3644093092.8080983162 |   710093
 3644093093.8081073761 |   710093
 3644093094.8081159592 |   710093
 3644093095.8081269264 |   710090
   3644093096.80813694 |   710088
 3644093097.8081450462 |   710083
 3644093098.8080501556 |   710077
 3644093099.8080601692 |   710073
 3644093100.8080692291 |   710070
 3644093101.8081831932 |   710068
 3644093102.8080892563 |   710068
 3644093103.8080983162 |   710072
 3644093104.8082113266 |   710075
 3644093105.8082222939 |   710081
 3644093106.8084402084 |   710087
   3644093107.80813694 |   710092
 3644093108.8080420494 |   710095
 3644093109.8081560135 |   710098
 3644093110.8085823059 |   710097
  3644093111.808175087 |   710097
 3644093112.8082890511 |   710094
 3644093113.8086099625 |   710088
 3644093114.8082032204 |   710083
 3644093115.8081092834 |   710079
 3644093116.8086390495 |   710075
 3644093117.8082323074 |   710073
  3644093118.808242321 |   710074
 3644093119.8081483841 |   710076
 3644093120.8082623482 |   710080
 3644093121.8082699776 |   710084
 3644093122.8082799911 |   710089
 3644093123.8082890511 |   710091
 3644093124.8082990646 |   710093
 3644093125.8083081245 |   710095
 3644093126.8084220886 |   710094
 3644093127.8082242012 |   710092
 3644093128.8086490631 |   710089
 3644093129.8084511757 |   710085
 3644093130.8086681366 |   710080
 3644093131.8090953827 |   710078
 3644093132.8083763123 |   710076
 3644093133.8083853722 |   710074
 3644093134.8083953857 |   710075
 3644093135.8088212013 |   710075
 3644093136.8085169792 |   710077
 3644093137.8085279465 |   710080
 3644093138.8083281517 |   710082
 3644093139.8084430695 |   710084
 3644093140.8085560799 |   710085
 3644093141.8085651398 |   710087
 3644093142.8085751534 |   710088
 3644093143.8084802628 |   710087
  3644093144.808907032 |   710086
 3644093145.8086032867 |   710085
 3644093146.8085093498 |   710083
 3644093147.8085193634 |   710082
 3644093148.8085279465 |   710081
 3644093149.8086423874 |   710080
   3644093150.80854702 |   710080
 3644093151.8085570335 |   710081
 3644093152.8085660934 |   710082
  3644093153.808576107 |   710084
